2026-04-24 09:37: Experiment log path in: ./saved_models/NYSE/
2026-04-24 09:38: Train Epoch 16: 0/74 Loss: 0.462490
2026-04-24 09:38: Train Epoch 16: 20/74 Loss: 0.052317
2026-04-24 09:38: Train Epoch 16: 40/74 Loss: 0.073258
2026-04-24 09:38: Train Epoch 16: 60/74 Loss: 0.175268
2026-04-24 09:38: **********Train Epoch 16: averaged Loss: 0.133686
2026-04-24 09:38: **********Val Epoch 16: average Loss: 0.023910
2026-04-24 09:38: *********************************Current best model saved!
2026-04-24 09:38: Train Epoch 17: 0/74 Loss: 0.445132
2026-04-24 09:38: Train Epoch 17: 20/74 Loss: 0.011151
2026-04-24 09:38: Train Epoch 17: 40/74 Loss: 0.021525
2026-04-24 09:38: Train Epoch 17: 60/74 Loss: 0.164477
2026-04-24 09:38: **********Train Epoch 17: averaged Loss: 0.126197
2026-04-24 09:38: **********Val Epoch 17: average Loss: 0.016671
2026-04-24 09:38: *********************************Current best model saved!
2026-04-24 09:38: Train Epoch 18: 0/74 Loss: 0.423541
2026-04-24 09:39: Train Epoch 18: 20/74 Loss: 0.038771
2026-04-24 09:39: Train Epoch 18: 40/74 Loss: 0.102807
2026-04-24 09:39: Train Epoch 18: 60/74 Loss: 0.127713
2026-04-24 09:39: **********Train Epoch 18: averaged Loss: 0.132850
2026-04-24 09:39: **********Val Epoch 18: average Loss: 0.019971
2026-04-24 09:39: Train Epoch 19: 0/74 Loss: 0.431566
2026-04-24 09:39: Train Epoch 19: 20/74 Loss: 0.024663
2026-04-24 09:39: Train Epoch 19: 40/74 Loss: 0.009202
2026-04-24 09:39: Train Epoch 19: 60/74 Loss: 0.164159
2026-04-24 09:39: **********Train Epoch 19: averaged Loss: 0.115453
2026-04-24 09:39: **********Val Epoch 19: average Loss: 0.014643
2026-04-24 09:39: *********************************Current best model saved!
2026-04-24 09:39: Train Epoch 20: 0/74 Loss: 0.404062
2026-04-24 09:39: Train Epoch 20: 20/74 Loss: 0.005961
2026-04-24 09:39: Train Epoch 20: 40/74 Loss: 0.044866
2026-04-24 09:39: Train Epoch 20: 60/74 Loss: 0.147397
2026-04-24 09:39: **********Train Epoch 20: averaged Loss: 0.123814
2026-04-24 09:39: **********Val Epoch 20: average Loss: 0.016644
2026-04-24 09:39: Train Epoch 21: 0/74 Loss: 0.398594
2026-04-24 09:39: Train Epoch 21: 20/74 Loss: 0.034749
2026-04-24 09:39: Train Epoch 21: 40/74 Loss: 0.049468
2026-04-24 09:39: Train Epoch 21: 60/74 Loss: 0.125303
2026-04-24 09:39: **********Train Epoch 21: averaged Loss: 0.123054
2026-04-24 09:39: **********Val Epoch 21: average Loss: 0.025944
2026-04-24 09:39: Train Epoch 22: 0/74 Loss: 0.442968
2026-04-24 09:39: Train Epoch 22: 20/74 Loss: 0.017765
2026-04-24 09:39: Train Epoch 22: 40/74 Loss: 0.020710
2026-04-24 09:39: Train Epoch 22: 60/74 Loss: 0.194080
2026-04-24 09:39: **********Train Epoch 22: averaged Loss: 0.116680
2026-04-24 09:39: **********Val Epoch 22: average Loss: 0.020507
2026-04-24 09:39: Train Epoch 23: 0/74 Loss: 0.431133
2026-04-24 09:39: Train Epoch 23: 20/74 Loss: 0.058060
2026-04-24 09:39: Train Epoch 23: 40/74 Loss: 0.115899
2026-04-24 09:39: Train Epoch 23: 60/74 Loss: 0.089394
2026-04-24 09:39: **********Train Epoch 23: averaged Loss: 0.135575
2026-04-24 09:39: **********Val Epoch 23: average Loss: 0.064125
2026-04-24 09:39: Train Epoch 24: 0/74 Loss: 0.471537
2026-04-24 09:39: Train Epoch 24: 20/74 Loss: 0.055618
2026-04-24 09:39: Train Epoch 24: 40/74 Loss: 0.009224
2026-04-24 09:39: Train Epoch 24: 60/74 Loss: 0.176014
2026-04-24 09:39: **********Train Epoch 24: averaged Loss: 0.108188
2026-04-24 09:39: **********Val Epoch 24: average Loss: 0.045170
2026-04-24 09:39: Train Epoch 25: 0/74 Loss: 0.425895
2026-04-24 09:39: Train Epoch 25: 20/74 Loss: 0.005972
2026-04-24 09:39: Train Epoch 25: 40/74 Loss: 0.069457
2026-04-24 09:39: Train Epoch 25: 60/74 Loss: 0.149283
2026-04-24 09:39: **********Train Epoch 25: averaged Loss: 0.123773
2026-04-24 09:39: **********Val Epoch 25: average Loss: 0.030382
2026-04-24 09:39: Train Epoch 26: 0/74 Loss: 0.399646
2026-04-24 09:39: Train Epoch 26: 20/74 Loss: 0.012321
2026-04-24 09:39: Train Epoch 26: 40/74 Loss: 0.068634
2026-04-24 09:39: Train Epoch 26: 60/74 Loss: 0.152629
2026-04-24 09:39: **********Train Epoch 26: averaged Loss: 0.125412
2026-04-24 09:39: **********Val Epoch 26: average Loss: 0.020351
2026-04-24 09:39: Train Epoch 27: 0/74 Loss: 0.386800
2026-04-24 09:40: Train Epoch 27: 20/74 Loss: 0.008621
2026-04-24 09:40: Train Epoch 27: 40/74 Loss: 0.048942
2026-04-24 09:40: Train Epoch 27: 60/74 Loss: 0.148006
2026-04-24 09:40: **********Train Epoch 27: averaged Loss: 0.120149
2026-04-24 09:40: **********Val Epoch 27: average Loss: 0.028228
2026-04-24 09:40: Train Epoch 28: 0/74 Loss: 0.371871
2026-04-24 09:40: Train Epoch 28: 20/74 Loss: 0.005856
2026-04-24 09:40: Train Epoch 28: 40/74 Loss: 0.044304
2026-04-24 09:40: Train Epoch 28: 60/74 Loss: 0.100901
2026-04-24 09:40: **********Train Epoch 28: averaged Loss: 0.107606
2026-04-24 09:40: **********Val Epoch 28: average Loss: 0.016848
2026-04-24 09:40: Train Epoch 29: 0/74 Loss: 0.319300
2026-04-24 09:40: Train Epoch 29: 20/74 Loss: 0.071456
2026-04-24 09:40: Train Epoch 29: 40/74 Loss: 0.018621
2026-04-24 09:40: Train Epoch 29: 60/74 Loss: 0.150087
2026-04-24 09:40: **********Train Epoch 29: averaged Loss: 0.087432
2026-04-24 09:40: **********Val Epoch 29: average Loss: 0.022331
2026-04-24 09:40: Train Epoch 30: 0/74 Loss: 0.354081
2026-04-24 09:40: Train Epoch 30: 20/74 Loss: 0.006148
2026-04-24 09:40: Train Epoch 30: 40/74 Loss: 0.014532
2026-04-24 09:40: Train Epoch 30: 60/74 Loss: 0.114013
2026-04-24 09:40: **********Train Epoch 30: averaged Loss: 0.101209
