2026-04-20 21:33: Experiment log path in: ./saved_models/DJIA/
2026-04-20 21:34: Train Epoch 23: 20/37 Loss: 0.007320
2026-04-20 21:34: **********Train Epoch 23: averaged Loss: 0.033801
2026-04-20 21:34: **********Val Epoch 23: average Loss: 0.030389
2026-04-20 21:34: Train Epoch 24: 0/37 Loss: 0.016559
2026-04-20 21:34: Train Epoch 24: 20/37 Loss: 0.014715
2026-04-20 21:34: **********Train Epoch 24: averaged Loss: 0.031168
2026-04-20 21:34: **********Val Epoch 24: average Loss: 0.054660
2026-04-20 21:34: Train Epoch 25: 0/37 Loss: 0.033324
2026-04-20 21:34: Train Epoch 25: 20/37 Loss: 0.007323
2026-04-20 21:34: **********Train Epoch 25: averaged Loss: 0.028772
2026-04-20 21:34: **********Val Epoch 25: average Loss: 0.097453
2026-04-20 21:34: Train Epoch 26: 0/37 Loss: 0.103626
2026-04-20 21:34: Train Epoch 26: 20/37 Loss: 0.018408
2026-04-20 21:34: **********Train Epoch 26: averaged Loss: 0.040150
2026-04-20 21:34: **********Val Epoch 26: average Loss: 0.021677
2026-04-20 21:34: Train Epoch 27: 0/37 Loss: 0.003790
2026-04-20 21:34: Train Epoch 27: 20/37 Loss: 0.025888
2026-04-20 21:34: **********Train Epoch 27: averaged Loss: 0.024229
2026-04-20 21:34: **********Val Epoch 27: average Loss: 0.031498
2026-04-20 21:34: Train Epoch 28: 0/37 Loss: 0.037494
2026-04-20 21:34: Train Epoch 28: 20/37 Loss: 0.047581
2026-04-20 21:34: **********Train Epoch 28: averaged Loss: 0.028773
2026-04-20 21:34: **********Val Epoch 28: average Loss: 0.054170
2026-04-20 21:34: Train Epoch 29: 0/37 Loss: 0.032329
2026-04-20 21:34: Train Epoch 29: 20/37 Loss: 0.024617
2026-04-20 21:34: **********Train Epoch 29: averaged Loss: 0.024690
2026-04-20 21:34: **********Val Epoch 29: average Loss: 0.061794
2026-04-20 21:34: Train Epoch 30: 0/37 Loss: 0.026431
2026-04-20 21:34: Train Epoch 30: 20/37 Loss: 0.013245
2026-04-20 21:34: **********Train Epoch 30: averaged Loss: 0.028091
2026-04-20 21:34: **********Val Epoch 30: average Loss: 0.047310
2026-04-20 21:34: Train Epoch 31: 0/37 Loss: 0.114322
2026-04-20 21:34: Train Epoch 31: 20/37 Loss: 0.028130
2026-04-20 21:34: **********Train Epoch 31: averaged Loss: 0.045076
2026-04-20 21:34: **********Val Epoch 31: average Loss: 0.082113
2026-04-20 21:34: Train Epoch 32: 0/37 Loss: 0.180245
2026-04-20 21:34: Train Epoch 32: 20/37 Loss: 0.044276
2026-04-20 21:34: **********Train Epoch 32: averaged Loss: 0.068149
2026-04-20 21:34: **********Val Epoch 32: average Loss: 0.085433
2026-04-20 21:34: Train Epoch 33: 0/37 Loss: 0.232951
2026-04-20 21:34: Train Epoch 33: 20/37 Loss: 0.060728
2026-04-20 21:34: **********Train Epoch 33: averaged Loss: 0.078041
2026-04-20 21:34: **********Val Epoch 33: average Loss: 0.013468
2026-04-20 21:34: *********************************Current best model saved!
2026-04-20 21:34: Train Epoch 34: 0/37 Loss: 0.032557
2026-04-20 21:34: Train Epoch 34: 20/37 Loss: 0.026741
2026-04-20 21:34: **********Train Epoch 34: averaged Loss: 0.033203
2026-04-20 21:34: **********Val Epoch 34: average Loss: 0.016297
2026-04-20 21:34: Train Epoch 35: 0/37 Loss: 0.106088
2026-04-20 21:34: Train Epoch 35: 20/37 Loss: 0.026473
2026-04-20 21:34: **********Train Epoch 35: averaged Loss: 0.035239
2026-04-20 21:34: **********Val Epoch 35: average Loss: 0.053954
2026-04-20 21:34: Train Epoch 36: 0/37 Loss: 0.133899
2026-04-20 21:34: Train Epoch 36: 20/37 Loss: 0.007177
2026-04-20 21:34: **********Train Epoch 36: averaged Loss: 0.043683
2026-04-20 21:34: **********Val Epoch 36: average Loss: 0.035979
2026-04-20 21:34: Train Epoch 37: 0/37 Loss: 0.131999
2026-04-20 21:34: Train Epoch 37: 20/37 Loss: 0.016950
2026-04-20 21:34: **********Train Epoch 37: averaged Loss: 0.039463
2026-04-20 21:34: **********Val Epoch 37: average Loss: 0.030092
2026-04-20 21:34: Train Epoch 38: 0/37 Loss: 0.004877
2026-04-20 21:34: Train Epoch 38: 20/37 Loss: 0.025552
2026-04-20 21:34: **********Train Epoch 38: averaged Loss: 0.029016
2026-04-20 21:34: **********Val Epoch 38: average Loss: 0.016511
2026-04-20 21:34: Train Epoch 39: 0/37 Loss: 0.023332
2026-04-20 21:34: Train Epoch 39: 20/37 Loss: 0.036431
2026-04-20 21:34: **********Train Epoch 39: averaged Loss: 0.040385
2026-04-20 21:34: **********Val Epoch 39: average Loss: 0.055514
2026-04-20 21:34: Train Epoch 40: 0/37 Loss: 0.090670
2026-04-20 21:34: Train Epoch 40: 20/37 Loss: 0.038806
2026-04-20 21:34: **********Train Epoch 40: averaged Loss: 0.046786
2026-04-20 21:34: **********Val Epoch 40: average Loss: 0.010919
2026-04-20 21:34: *********************************Current best model saved!
2026-04-20 21:34: Train Epoch 41: 0/37 Loss: 0.119013
2026-04-20 21:34: Train Epoch 41: 20/37 Loss: 0.045319
2026-04-20 21:34: **********Train Epoch 41: averaged Loss: 0.033114
2026-04-20 21:34: **********Val Epoch 41: average Loss: 0.046699
