Date,Price,Vol.,weekday,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,Name
2010-01-04,48.77,-0.15263774912075023,0,-0.0006147540983605371,0.013920631622688528,0.02100127280441244,-0.010703043022035619,3.545647558386422,-0.46938775510203534,-6.749521988527718,-10.068227918126482,48.622858631834625,49.732371917886844,50.99759540153857,51.65675377056033,300015.SZ
2010-01-05,51.0,1.558384061981184,1,0.045724830838630215,-0.0006147540983605371,0.013920631622688528,0.02100127280441244,7.030430220356765,3.7639877924720233,-2.0172910662824117,-7.725710150171894,49.05506615331924,49.85309840189762,50.99768969951745,51.65021890717167,300015.SZ
2010-01-06,49.74,-0.47317759030932294,2,-0.024705882352941133,0.045724830838630215,-0.0006147540983605371,0.013920631622688528,5.5154857870173934,6.578101564173977,-5.058217217026151,-11.178571428571427,49.17959957998847,49.84232712552642,50.94836853483049,51.63121175386648,300015.SZ
2010-01-07,48.58,-0.06466844590433174,3,-0.023321270607157274,-0.024705882352941133,0.045724830838630215,-0.0006147540983605371,0.9349677955537095,2.0588235294117574,-4.37007874015748,-13.681592039801005,49.07058147453601,49.7221054945239,50.85549133738616,51.600851437907615,300015.SZ
2010-01-08,47.23,0.1788849868305531,4,-0.027789213668176216,-0.023321270607157274,-0.024705882352941133,0.045724830838630215,-3.2172131147541028,-3.0582922824302194,-2.154547337891044,-13.482322769738053,48.73593029734764,49.48476211409306,50.71331520650828,51.55736037882396,300015.SZ
2010-01-11,47.4,-0.18692980822938,0,0.0035994071564684482,-0.027789213668176216,-0.023321270607157274,-0.024705882352941133,-2.8091039573508447,0.6369426751592355,-3.2653061224489854,-9.369024856596553,48.49303387964807,49.28621334132229,50.58338127684129,51.51599360888541,300015.SZ
2010-01-12,48.44,-0.12136478131440354,1,0.021940928270042237,0.0035994071564684482,-0.027789213668176216,-0.023321270607157274,-5.019607843137264,1.6579223504721963,-1.444557477110886,-6.935638808837652,48.483391356075686,49.20562159452969,50.49932710912202,51.485386707304464,300015.SZ
2010-01-13,49.35,0.7954130831378683,2,0.018786127167630173,0.021940928270042237,0.0035994071564684482,-0.027789213668176216,-0.7840772014475306,4.688162918964789,5.742446968073711,-5.802634090475278,48.64095656406192,49.2193719188602,50.45425545778391,51.464139078376064,300015.SZ
2010-01-14,51.52,0.4581216431993034,3,0.04397163120567371,0.018786127167630173,0.021940928270042237,0.0035994071564684482,6.05187319884728,7.043424059837933,8.23529411764705,1.4173228346456845,49.164419006959754,49.438479355159224,50.49604936140023,51.46469490844197,300015.SZ
2010-01-15,51.06,-0.532404181184669,4,-0.008928571428571397,0.04397163120567371,0.018786127167630173,0.021940928270042237,8.109252593690464,4.631147540983616,4.802955665024644,5.779987569919198,49.50907009660344,49.59290989276311,50.51816507271787,51.460668093432595,300015.SZ
2010-01-18,51.2,-0.43304236746859703,0,0.0027418723070897766,-0.008928571428571397,0.04397163120567371,0.018786127167630173,8.016877637130815,4.982571252819357,8.704883227176218,4.489795918367356,49.81651189722099,49.74596609345234,50.544903697317174,51.458074381060136,300015.SZ
2010-01-19,50.08,0.6425084491175368,1,-0.02187500000000009,0.0027418723070897766,-0.008928571428571397,0.04397163120567371,3.3856317093311272,-1.8039215686274535,5.099685204616988,1.8921668362156696,49.86441882499899,49.77777884645688,50.526672179775325,51.44436219816402,300015.SZ
2010-01-20,47.1,0.23822588020118873,2,-0.05950479233226835,-0.02187500000000009,0.0027418723070897766,-0.008928571428571397,-4.559270516717328,-5.307599517490957,-0.08485362749257597,0.9213627598028795,49.36179722045372,49.522752289651464,50.39229287860766,51.40113471360518,300015.SZ
2010-01-21,47.63,-0.5334194977843427,3,0.011252653927813272,-0.05950479233226835,-0.02187500000000009,0.0027418723070897766,-7.550465838509313,-1.9555372581309127,-1.0388531061707895,0.06302521008403339,49.04692499855304,49.34249016682752,50.28396766768187,51.3636109851116,300015.SZ
2010-01-22,44.8,1.7447566284131382,4,-0.0594163342431242,0.011252653927813272,-0.05950479233226835,-0.02187500000000009,-12.260086173129658,-5.145034935422399,-8.196721311475407,-8.045977011494255,48.274756816997936,48.909872055701086,50.068910112086506,51.29830142307069,300015.SZ
2010-01-25,43.51,-0.4968281430219147,0,-0.028794642857142838,-0.0594163342431242,0.011252653927813272,-0.05950479233226835,-15.019531250000007,-8.206751054852324,-10.785318843551373,-7.62208067940553,47.408437395725585,48.395598526586696,49.81169795082821,51.220805886522726,300015.SZ
2010-01-26,43.6,-0.2816618911174785,1,0.002068490002298473,-0.028794642857142838,-0.0594163342431242,0.011252653927813272,-12.939297124600635,-9.991742361684553,-14.50980392156862,-8.49947534102833,46.715994232866386,47.938874857387965,49.56810195275652,51.144976972228974,300015.SZ
2010-01-27,43.7,-0.0969285999202234,2,0.002293577981651307,0.002068490002298473,-0.028794642857142838,-0.0594163342431242,-7.218683651804669,-11.448834853090172,-12.143144350623237,-7.2974119643614666,46.1676316450725,47.535172490017686,49.33798030755038,51.07089759937098,300015.SZ
2010-01-28,44.0,1.0786219081272086,3,0.00686498855835227,0.002293577981651307,0.002068490002298473,-0.028794642857142838,-7.621247113163976,-14.596273291925465,-9.427748044462735,-8.58092665697071,45.77351680051386,47.198489395730284,49.12864774646998,51.00054040932749,300015.SZ
2010-01-29,44.11,-0.06396090097747564,4,0.0024999999999999467,0.00686498855835227,0.002293577981651307,0.002068490002298473,-1.5401785714285632,-13.611437524481007,-6.605970781283077,-9.61065573770491,45.47105920042043,46.904347548517876,48.93183803092214,50.93197781818991,300015.SZ
2010-02-01,40.8,3.3986379114642453,0,-0.07503967354341423,0.0024999999999999467,0.00686498855835227,0.002293577981651307,-6.228453229142728,-20.31250000000001,-13.924050632911399,-16.342013532909583,44.621775709434885,46.322981115325696,48.61294242186637,50.83116211850643,300015.SZ
2010-02-02,40.82,-0.743445499587118,1,0.0004901960784313708,-0.07503967354341423,0.0024999999999999467,0.00686498855835227,-6.376146788990833,-18.49041533546325,-15.730800990916594,-19.960784313725487,43.930543762264904,45.79888767577087,48.30733683669514,50.73154856508845,300015.SZ
2010-02-03,40.35,0.04385435526051085,2,-0.011513963743263078,0.0004901960784313708,-0.07503967354341423,0.0024999999999999467,-7.665903890160186,-14.3312101910828,-18.237082066869302,-18.878166465621227,43.279535805489466,45.27994599236412,47.99528441172671,50.628249574391056,300015.SZ
2010-02-04,41.1,-0.20986702640200428,3,0.018587360594795488,-0.011513963743263078,0.0004901960784313708,-0.07503967354341423,-6.590909090909092,-13.709846735250897,-20.225155279503106,-15.397282832441327,42.88325656812775,44.88185589785325,47.72488110146291,50.53344112091453,300015.SZ
2010-02-05,41.0,-0.19195121951219507,4,-0.0024330900243308973,0.018587360594795488,-0.011513963743263078,0.0004901960784313708,-7.050555429607797,-8.482142857142849,-19.702311006658835,-13.190768579292822,42.54084628301361,44.512155336152944,47.46116027395457,50.438581010258666,300015.SZ
2010-02-08,42.7,1.0842137035919106,0,0.04146341463414638,-0.0024330900243308973,0.018587360594795488,-0.011513963743263078,4.656862745098045,-1.8616410020684815,-16.6015625,-9.915611814345981,42.569783322465675,44.33956911366219,47.27444810634851,50.361580204186446,300015.SZ
2010-02-09,42.85,-0.7081824764663287,1,0.003512880562060783,0.04146341463414638,-0.0024330900243308973,0.018587360594795488,4.973052425281721,-1.7201834862385357,-14.436900958466447,-11.54004954582989,42.62073180929009,44.19770538855151,47.100940337472096,50.2868381126025,300015.SZ
2010-02-10,44.6,1.464516129032258,2,0.040840140023337135,0.003512880562060783,0.04146341463414638,-0.0024330900243308973,10.532837670384133,2.0594965675057253,-5.307855626326963,-9.625126646403237,42.980598753055524,44.236019161070416,47.00286424580653,50.23025265874576,300015.SZ
2010-02-11,44.62,-0.24063632702376148,3,0.0004484304932734773,0.040840140023337135,0.003512880562060783,0.04146341463414638,8.564476885644767,1.4090909090908932,-6.319546504304019,-13.392857142857151,43.27867170704543,44.27258876477799,46.909418589108235,50.17442924920601,300015.SZ
2010-02-12,45.76,-0.17104216388225935,4,0.025549081129538243,0.0004484304932734773,0.040840140023337135,0.003512880562060783,11.609756097560965,3.7406483790523692,2.1428571428571352,-10.379945162553861,43.72982230576444,44.414246977656276,46.86434335031968,50.13050458005968,300015.SZ
2010-02-22,45.43,-0.07421625079974403,0,-0.007211538461538436,0.025549081129538243,0.0004484304932734773,0.040840140023337135,6.393442622950807,11.348039215686278,4.41277867156975,-11.269531250000009,44.038945522898175,44.51098536073663,46.808094591483616,50.08373339020834,300015.SZ
2010-02-23,45.5,-0.03248099516240499,1,0.0015408320493066618,-0.007211538461538436,0.025549081129538243,0.0004484304932734773,6.1843640606767725,11.46496815286624,4.357798165137616,-9.14536741214057,44.304591791462144,44.60517723114267,46.75679676436661,50.03812410274358,300015.SZ
2010-02-24,47.59,1.2321428571428572,2,0.045934065934065904,0.0015408320493066618,-0.007211538461538436,0.025549081129538243,6.704035874439462,17.94299876084262,8.901601830663619,1.0403397027600958,44.90193873846903,44.889446066271944,46.78947140105812,50.01376465893519,300015.SZ
2010-02-25,47.84,0.14847999999999995,3,0.005253204454717331,0.045934065934065904,0.0015408320493066618,-0.007211538461538436,7.2164948453608435,16.39902676399028,8.727272727272739,0.44089859332354653,45.436131695111015,45.170451202817475,46.830668601016626,49.992135159841304,300015.SZ
2010-02-26,49.1,0.1492059069378655,4,0.026337792642140423,0.005253204454717331,0.045934065934065904,0.0015408320493066618,7.298951048951063,19.756097560975604,11.312627522103845,9.598214285714302,46.102289568727194,45.54469394540629,46.91966198921205,49.983258193076715,300015.SZ
2010-03-01,50.9,0.19153836828706527,0,0.03665987780040725,0.026337792642140423,0.005253204454717331,0.045934065934065904,12.040501871010335,19.20374707259953,24.754901960784316,16.984601241093998,46.97460055623134,46.05472309346283,47.075753675909624,49.99238000210083,300015.SZ
2010-03-02,50.3,-0.2823278054735985,1,-0.011787819253438192,0.03665987780040725,0.026337792642140423,0.005253204454717331,10.549450549450533,17.386231038506406,23.223909848113667,15.3669724770642,47.57921863691655,46.459035179799706,47.20219470822689,49.995440897602315,300015.SZ
2010-03-03,49.28,-0.04564785937057003,2,-0.020278330019880664,-0.011787819253438192,0.03665987780040725,0.026337792642140423,3.551166211388934,10.4932735426009,22.131350681536553,12.76887871853547,47.88845161202263,46.72769849600926,47.28367726868858,49.988322082700805,300015.SZ
2010-03-04,50.39,0.518270944741533,3,0.022524350649350655,-0.020278330019880664,-0.011787819253438192,0.03665987780040725,5.330267558528412,12.931420887494415,22.603406326034058,14.522727272727277,48.34327859165488,47.07648911543695,47.40549384638707,49.992318877897816,300015.SZ
2010-03-05,53.5,0.2062420506799727,4,0.06171859495931731,0.022524350649350655,-0.020278330019880664,-0.011787819253438192,8.96130346232178,16.914335664335667,30.487804878048784,21.287689866243475,49.280864302263076,47.688252056823906,47.644494087705226,50.02722117762023,300015.SZ
2010-03-08,54.14,-0.25403520155730397,0,0.011962616822429828,0.06171859495931731,0.022524350649350655,-0.020278330019880664,6.365422396856579,19.172353070658165,26.79156908665106,32.69607843137257,50.16434352003342,48.30270424188829,47.899219809756005,50.06814434998221,300015.SZ
2010-03-09,53.68,-0.3208654996194411,1,-0.008496490579977811,0.011962616822429828,0.06171859495931731,0.022524350649350655,6.7196819085487025,17.978021978021985,25.27421236872811,31.504164625183726,50.80355378911825,48.81482764742274,48.12591707211851,50.104083212171446,300015.SZ
2010-03-10,56.29,1.0914185078450207,2,0.04862146050670635,-0.008496490579977811,0.011962616822429828,0.06171859495931731,14.224837662337663,18.28115150241647,26.210762331838566,39.50433705080545,51.80108946382402,49.52674882385867,48.4460771869374,50.16563462299561,300015.SZ
2010-03-11,56.3,-0.2085279032381535,3,0.0001776514478593061,0.04862146050670635,-0.008496490579977811,0.011962616822429828,11.728517563008523,17.6839464882943,26.176602420439266,36.982968369829685,52.61907319767419,50.171820364443555,48.75407415999869,50.22667308445835,300015.SZ
2010-03-16,55.21,-0.514386944384797,1,-0.028506070737286615,0.009413854351687512,0.0,0.0001776514478593061,2.8502235469448634,9.761431411530829,21.34065934065934,28.844807467911316,54.16458629684784,51.7031288067939,49.584695410134,50.40054388126068,300015.SZ
2010-03-17,58.98,0.8022330311739998,2,0.06828473102698784,-0.028506070737286615,0.009413854351687512,0.0,4.778823947415178,19.68344155844155,23.93359949569236,32.2421524663677,55.04011606105732,52.39616415852782,49.95313872738365,50.4859116038352,300015.SZ
2010-03-18,59.67,-0.024658038397840976,3,0.011698880976602322,0.06828473102698784,-0.028506070737286615,0.009413854351687512,5.98579040852576,18.41635245088311,24.72826086956521,33.7292693859256,55.88191314086508,53.08891042914422,50.334192110623505,50.577295567976144,300015.SZ
2010-03-19,59.99,-0.5428589396893277,4,0.005362828892240712,0.011698880976602322,0.06828473102698784,-0.028506070737286615,6.554174067495566,12.13084112149534,22.179226069246425,31.09702797202798,56.628838024344155,53.74615705494001,50.71285124354023,50.67095431854355,300015.SZ
2010-03-22,60.4,0.020498005227679306,0,0.006834472412068582,0.005362828892240712,0.011698880976602322,0.06828473102698784,6.281893366179836,11.562615441448099,18.664047151277007,32.951793968743125,57.31450383809976,54.37985638304096,51.092739430068065,50.76776074323466,300015.SZ
2010-03-23,63.85,0.9983823132919925,1,0.0571192052980134,0.006834472412068582,0.005362828892240712,0.011698880976602322,15.649338887882625,18.945603576751125,26.938369781312144,40.32967032967034,58.502775867536165,55.281774822751345,51.59302415830069,50.89793227812785,300015.SZ
2010-03-24,64.66,-0.08014031300593627,2,0.012685982772122184,0.0571192052980134,0.006834472412068582,0.005362828892240712,9.630383180739233,14.869426185823409,31.209415584415567,35.86888001681024,59.62227116434777,56.174939125346455,52.105454583465374,51.03486827536041,300015.SZ
2010-03-25,69.0,0.4393517160457612,3,0.0671203216826477,0.012685982772122184,0.0571192052980134,0.006834472412068582,15.635997988939154,22.557726465364137,36.931930938678306,44.230769230769226,61.32731277082999,57.39637349436108,52.76798577627065,51.213625804958816,300015.SZ
2010-03-26,71.37,0.19187853467162586,4,0.03434782608695652,0.0671203216826477,0.012685982772122184,0.0571192052980134,18.969828304717453,26.76731793960925,33.401869158878505,45.356415478615084,63.153255903406354,58.72719506632669,53.497476530142386,51.41418674222291,300015.SZ
2010-03-29,69.91,0.13029538750908398,0,-0.020456774555135282,0.03434782608695652,0.0671203216826477,0.012685982772122184,15.745033112582774,23.01601266936477,29.128186183967486,37.34774066797642,64.38175483005975,59.79222410762891,54.14110490150935,51.598224685086365,300015.SZ
2010-03-30,69.9,-0.4413600090768125,1,-0.0001430410527820669,-0.020456774555135282,0.03434782608695652,0.0671203216826477,9.475332811276438,26.607498641550453,30.216095380029827,38.966202783300204,65.38507213368524,60.75486943071187,54.75910078772467,51.78033190215018,300015.SZ
2010-03-31,70.6,-0.005957619660144853,2,0.010014306151645114,-0.0001430410527820669,-0.020456774555135282,0.03434782608695652,9.186514073615836,19.701593760596815,25.421922188665835,43.26298701298701,66.33324083665156,61.69250091350121,55.38031252153939,51.967592281233266,300015.SZ
