2026-05-18 10:48: Experiment log path in: /root/data-tmp/zzh/SAMBA/saved_models/NYSE_82/
2026-05-18 10:49: **********Train Epoch 15: averaged Loss: 0.103087
2026-05-18 10:49: **********Val Epoch 15: average Loss: 0.202003
2026-05-18 10:49: Train Epoch 16: 0/74 Loss: 0.380798
2026-05-18 10:49: Train Epoch 16: 20/74 Loss: 0.103120
2026-05-18 10:49: Train Epoch 16: 40/74 Loss: 0.092857
2026-05-18 10:49: Train Epoch 16: 60/74 Loss: 0.084370
2026-05-18 10:49: **********Train Epoch 16: averaged Loss: 0.110786
2026-05-18 10:49: **********Val Epoch 16: average Loss: 0.221913
2026-05-18 10:49: Train Epoch 17: 0/74 Loss: 0.352297
2026-05-18 10:49: Train Epoch 17: 20/74 Loss: 0.105274
2026-05-18 10:49: Train Epoch 17: 40/74 Loss: 0.054227
2026-05-18 10:49: Train Epoch 17: 60/74 Loss: 0.063844
2026-05-18 10:49: **********Train Epoch 17: averaged Loss: 0.101447
2026-05-18 10:49: **********Val Epoch 17: average Loss: 0.218619
2026-05-18 10:49: Train Epoch 18: 0/74 Loss: 0.330762
2026-05-18 10:49: Train Epoch 18: 20/74 Loss: 0.088800
2026-05-18 10:49: Train Epoch 18: 40/74 Loss: 0.045209
2026-05-18 10:49: Train Epoch 18: 60/74 Loss: 0.054238
2026-05-18 10:49: **********Train Epoch 18: averaged Loss: 0.103892
2026-05-18 10:49: **********Val Epoch 18: average Loss: 0.242135
2026-05-18 10:49: Train Epoch 19: 0/74 Loss: 0.349131
2026-05-18 10:49: Train Epoch 19: 20/74 Loss: 0.117373
2026-05-18 10:49: Train Epoch 19: 40/74 Loss: 0.050414
2026-05-18 10:49: Train Epoch 19: 60/74 Loss: 0.036235
2026-05-18 10:49: **********Train Epoch 19: averaged Loss: 0.099000
2026-05-18 10:49: **********Val Epoch 19: average Loss: 0.194664
2026-05-18 10:49: Train Epoch 20: 0/74 Loss: 0.383225
2026-05-18 10:49: Train Epoch 20: 20/74 Loss: 0.050806
2026-05-18 10:49: Train Epoch 20: 40/74 Loss: 0.017201
2026-05-18 10:49: Train Epoch 20: 60/74 Loss: 0.049320
2026-05-18 10:49: **********Train Epoch 20: averaged Loss: 0.106833
2026-05-18 10:49: **********Val Epoch 20: average Loss: 0.214363
2026-05-18 10:49: Train Epoch 21: 0/74 Loss: 0.359559
2026-05-18 10:49: Train Epoch 21: 20/74 Loss: 0.016980
2026-05-18 10:49: Train Epoch 21: 40/74 Loss: 0.026535
2026-05-18 10:49: Train Epoch 21: 60/74 Loss: 0.078551
2026-05-18 10:49: **********Train Epoch 21: averaged Loss: 0.111888
2026-05-18 10:49: **********Val Epoch 21: average Loss: 0.229398
2026-05-18 10:49: Train Epoch 22: 0/74 Loss: 0.335144
2026-05-18 10:49: Train Epoch 22: 20/74 Loss: 0.109388
2026-05-18 10:49: Train Epoch 22: 40/74 Loss: 0.052997
2026-05-18 10:49: Train Epoch 22: 60/74 Loss: 0.038459
2026-05-18 10:49: **********Train Epoch 22: averaged Loss: 0.103104
2026-05-18 10:49: **********Val Epoch 22: average Loss: 0.225294
2026-05-18 10:49: Train Epoch 23: 0/74 Loss: 0.349182
2026-05-18 10:49: Train Epoch 23: 20/74 Loss: 0.042787
2026-05-18 10:49: Train Epoch 23: 40/74 Loss: 0.015633
2026-05-18 10:49: Train Epoch 23: 60/74 Loss: 0.046259
2026-05-18 10:49: **********Train Epoch 23: averaged Loss: 0.104414
2026-05-18 10:49: **********Val Epoch 23: average Loss: 0.197908
2026-05-18 10:49: Train Epoch 24: 0/74 Loss: 0.323910
2026-05-18 10:49: Train Epoch 24: 20/74 Loss: 0.029924
2026-05-18 10:49: Train Epoch 24: 40/74 Loss: 0.052643
