2026-04-27 13:09: Experiment log path in: ./saved_models/NASDAQ/
2026-04-27 13:10: Train Epoch 16: 0/74 Loss: 0.116704
2026-04-27 13:10: Train Epoch 16: 20/74 Loss: 0.009755
2026-04-27 13:10: Train Epoch 16: 40/74 Loss: 0.055942
2026-04-27 13:10: Train Epoch 16: 60/74 Loss: 0.038411
2026-04-27 13:10: **********Train Epoch 16: averaged Loss: 0.027319
2026-04-27 13:10: **********Val Epoch 16: average Loss: 0.070697
2026-04-27 13:10: Train Epoch 17: 0/74 Loss: 0.247123
2026-04-27 13:10: Train Epoch 17: 20/74 Loss: 0.046249
2026-04-27 13:10: Train Epoch 17: 40/74 Loss: 0.013944
2026-04-27 13:10: Train Epoch 17: 60/74 Loss: 0.033627
2026-04-27 13:10: **********Train Epoch 17: averaged Loss: 0.050709
2026-04-27 13:10: **********Val Epoch 17: average Loss: 0.095616
2026-04-27 13:10: Train Epoch 18: 0/74 Loss: 0.171745
2026-04-27 13:10: Train Epoch 18: 20/74 Loss: 0.084709
2026-04-27 13:10: Train Epoch 18: 40/74 Loss: 0.010866
2026-04-27 13:10: Train Epoch 18: 60/74 Loss: 0.006257
2026-04-27 13:10: **********Train Epoch 18: averaged Loss: 0.044260
2026-04-27 13:10: **********Val Epoch 18: average Loss: 0.064404
2026-04-27 13:10: Train Epoch 19: 0/74 Loss: 0.237494
2026-04-27 13:10: Train Epoch 19: 20/74 Loss: 0.085534
2026-04-27 13:10: Train Epoch 19: 40/74 Loss: 0.027716
2026-04-27 13:10: Train Epoch 19: 60/74 Loss: 0.027633
2026-04-27 13:10: **********Train Epoch 19: averaged Loss: 0.052980
2026-04-27 13:10: **********Val Epoch 19: average Loss: 0.105377
2026-04-27 13:10: Train Epoch 20: 0/74 Loss: 0.148491
2026-04-27 13:10: Train Epoch 20: 20/74 Loss: 0.069565
2026-04-27 13:10: Train Epoch 20: 40/74 Loss: 0.048000
2026-04-27 13:10: Train Epoch 20: 60/74 Loss: 0.021522
2026-04-27 13:10: **********Train Epoch 20: averaged Loss: 0.047082
2026-04-27 13:10: **********Val Epoch 20: average Loss: 0.144272
2026-04-27 13:10: Train Epoch 21: 0/74 Loss: 0.204242
2026-04-27 13:10: Train Epoch 21: 20/74 Loss: 0.063797
2026-04-27 13:10: Train Epoch 21: 40/74 Loss: 0.074773
2026-04-27 13:10: Train Epoch 21: 60/74 Loss: 0.025598
2026-04-27 13:10: **********Train Epoch 21: averaged Loss: 0.064972
2026-04-27 13:10: **********Val Epoch 21: average Loss: 0.108432
2026-04-27 13:10: Train Epoch 22: 0/74 Loss: 0.360307
2026-04-27 13:10: Train Epoch 22: 20/74 Loss: 0.017890
2026-04-27 13:10: Train Epoch 22: 40/74 Loss: 0.018312
2026-04-27 13:10: Train Epoch 22: 60/74 Loss: 0.007815
2026-04-27 13:10: **********Train Epoch 22: averaged Loss: 0.097795
2026-04-27 13:10: **********Val Epoch 22: average Loss: 0.055568
2026-04-27 13:10: Train Epoch 23: 0/74 Loss: 0.211262
2026-04-27 13:10: Train Epoch 23: 20/74 Loss: 0.056593
2026-04-27 13:11: Train Epoch 23: 40/74 Loss: 0.012078
2026-04-27 13:11: Train Epoch 23: 60/74 Loss: 0.023825
2026-04-27 13:11: **********Train Epoch 23: averaged Loss: 0.051951
2026-04-27 13:11: **********Val Epoch 23: average Loss: 0.070865
2026-04-27 13:11: Train Epoch 24: 0/74 Loss: 0.036352
2026-04-27 13:11: Train Epoch 24: 20/74 Loss: 0.002274
2026-04-27 13:11: Train Epoch 24: 40/74 Loss: 0.040517
2026-04-27 13:11: Train Epoch 24: 60/74 Loss: 0.011966
2026-04-27 13:11: **********Train Epoch 24: averaged Loss: 0.023185
2026-04-27 13:11: **********Val Epoch 24: average Loss: 0.046944
2026-04-27 13:11: Train Epoch 25: 0/74 Loss: 0.157258
2026-04-27 13:11: Train Epoch 25: 20/74 Loss: 0.045456
2026-04-27 13:11: Train Epoch 25: 40/74 Loss: 0.043216
2026-04-27 13:11: Train Epoch 25: 60/74 Loss: 0.071407
2026-04-27 13:11: **********Train Epoch 25: averaged Loss: 0.041267
2026-04-27 13:11: **********Val Epoch 25: average Loss: 0.017759
2026-04-27 13:11: *********************************Current best model saved!
2026-04-27 13:11: Train Epoch 26: 0/74 Loss: 0.203092
2026-04-27 13:11: Train Epoch 26: 20/74 Loss: 0.054717
2026-04-27 13:11: Train Epoch 26: 40/74 Loss: 0.015218
2026-04-27 13:11: Train Epoch 26: 60/74 Loss: 0.046024
2026-04-27 13:11: **********Train Epoch 26: averaged Loss: 0.071892
2026-04-27 13:11: **********Val Epoch 26: average Loss: 0.100881
2026-04-27 13:11: Train Epoch 27: 0/74 Loss: 0.336312
2026-04-27 13:11: Train Epoch 27: 20/74 Loss: 0.047270
2026-04-27 13:11: Train Epoch 27: 40/74 Loss: 0.018746
2026-04-27 13:11: Train Epoch 27: 60/74 Loss: 0.049554
2026-04-27 13:11: **********Train Epoch 27: averaged Loss: 0.096505
2026-04-27 13:11: **********Val Epoch 27: average Loss: 0.080378
